Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",93.28,9.57,4.35,131.48,3.421477,0.275825,0.0806158,27.26,2.8,1.27,38.43
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",68.33,7.23,2.03,101.11,3.1123756,0.202664,0.0651155,21.95,2.32,0.65,32.49
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",75.19,6.96,1.14,106.58,3.0554451,0.255543,0.0836353,24.61,2.28,0.37,34.88
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",72.94,6.78,0.66,104.21,3.0651241,0.288111,0.0939965,23.8,2.21,0.22,34.0
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",69.05,6.82,1.98,101.27,3.0210444,0.23624,0.0781981,22.86,2.26,0.66,33.52
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",66.19,6.77,1.86,98.06,3.0318192,0.204678,0.06751,21.83,2.23,0.61,32.34
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",68.99,6.74,1.14,100.77,3.0659333,0.271929,0.0886937,22.5,2.2,0.37,32.87
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",67.55,6.52,0.77,98.11,3.0273447,0.272061,0.0898679,22.31,2.15,0.25,32.41
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",66.49,6.57,1.31,97.41,2.999151,0.239714,0.0799273,22.17,2.19,0.44,32.48
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",68.13,6.82,1.89,100.08,3.0691235,0.247499,0.0806416,22.2,2.22,0.62,32.61
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",72.33,7.5,3.18,106.9,3.173206,0.257251,0.0810697,22.79,2.36,1.0,33.69
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",69.87,6.84,1.93,102.23,3.0805369,0.269035,0.0873338,22.68,2.22,0.63,33.19
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",76.05,7.33,2.18,109.62,3.2023295,0.359111,0.1121406,23.75,2.29,0.68,34.23
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",65.56,6.48,0.79,95.57,2.9915527,0.234829,0.0784974,21.92,2.17,0.26,31.95
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",77.17,6.83,1.64,109.11,3.0686306,0.290259,0.0945891,25.15,2.23,0.53,35.56
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",77.89,7.15,2.65,111.58,3.0974231,0.244013,0.0787794,25.15,2.31,0.86,36.02
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",68.76,6.76,1.5,100.17,3.0564137,0.254343,0.0832162,22.5,2.21,0.49,32.77
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",70.65,7.19,2.2,103.55,3.1206761,0.228621,0.0732601,22.64,2.3,0.7,33.18
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",66.19,6.41,0.54,96.49,3.0277538,0.274604,0.0906956,21.86,2.12,0.18,31.87
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",57.37,6.14,0.06,87.27,3.0016468,0.315176,0.105001,19.11,2.05,0.02,29.07
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",66.03,6.57,1.53,97.74,3.0122034,0.241187,0.08007,21.92,2.18,0.51,32.45
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",59.8,6.17,1.08,89.66,2.9267951,0.179577,0.0613562,20.43,2.11,0.37,30.63
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",59.27,5.84,0.08,87.57,2.8418218,0.174899,0.0615447,20.86,2.06,0.03,30.81
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",60.4,5.93,0.07,89.15,2.8849672,0.17912,0.0620874,20.94,2.06,0.02,30.9
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",60.18,5.92,0.06,88.58,2.8737792,0.17117,0.0595627,20.94,2.06,0.02,30.82
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",59.56,5.93,0.06,88.13,2.8918446,0.191754,0.0663085,20.6,2.05,0.02,30.48
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",59.46,5.88,0.06,87.68,2.8720891,0.186539,0.0649489,20.7,2.05,0.02,30.53
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",60.14,5.87,0.06,88.36,2.8655454,0.201451,0.0703011,20.99,2.05,0.02,30.84
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",61.1,5.99,0.07,89.59,2.9077876,0.208975,0.0718674,21.01,2.06,0.02,30.81
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",61.19,6.01,0.06,89.86,2.9231548,0.20901,0.0715015,20.93,2.06,0.02,30.74
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",62.96,6.02,0.06,91.6,2.928323,0.243982,0.083318,21.5,2.06,0.02,31.28
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",63.25,6.04,0.07,91.97,2.9288068,0.25301,0.0863867,21.6,2.06,0.02,31.4
