Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.29,5.69,0.07,81.52,2.802076,0.113998,0.0406834,19.37,2.03,0.02,29.09
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.86,5.73,0.06,83.33,2.8322625,0.148253,0.0523444,19.72,2.02,0.02,29.42
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.25,5.69,0.08,82.71,2.7993623,0.129813,0.0463723,19.74,2.03,0.03,29.55
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.8,5.63,0.07,80.88,2.7699502,0.10759,0.0388419,19.42,2.03,0.03,29.2
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.83,5.66,0.08,82.04,2.7843854,0.116346,0.0417852,19.69,2.03,0.03,29.46
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.45,5.7,0.07,82.83,2.8037765,0.130256,0.0464573,19.78,2.03,0.02,29.54
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.32,5.69,0.07,81.38,2.8042462,0.120452,0.0429534,19.37,2.03,0.02,29.02
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.81,5.66,0.09,80.95,2.7892464,0.105686,0.0378905,19.29,2.03,0.03,29.02
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.44,5.7,0.08,82.81,2.7988707,0.122989,0.0439424,19.81,2.04,0.03,29.59
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.26,5.69,0.06,82.5,2.8075614,0.139221,0.0495879,19.68,2.03,0.02,29.38
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.32,5.66,0.08,82.5,2.7765283,0.128948,0.0464422,19.92,2.04,0.03,29.71
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.71,5.76,0.08,83.22,2.8299329,0.141897,0.0501415,19.69,2.04,0.03,29.41
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.36,5.73,0.07,83.75,2.8226295,0.163572,0.0579502,19.97,2.03,0.02,29.67
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.59,5.7,0.07,83.04,2.8049923,0.135792,0.0484108,19.82,2.03,0.02,29.6
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.51,5.77,0.08,84.04,2.8389472,0.152606,0.0537544,19.91,2.03,0.03,29.6
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.95,5.73,0.08,82.2,2.8147943,0.132351,0.0470198,19.52,2.04,0.03,29.2
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.79,5.65,0.08,81.72,2.7744897,0.126564,0.045617,19.75,2.04,0.03,29.45
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.99,5.72,0.07,82.17,2.8100172,0.130122,0.0463065,19.57,2.04,0.02,29.24
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.9,5.76,0.06,82.12,2.8285037,0.136736,0.0483422,19.41,2.04,0.02,29.03
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.71,5.81,0.07,84.21,2.8535649,0.165471,0.0579875,19.87,2.04,0.02,29.51
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.05,5.81,0.07,82.66,2.8495775,0.125893,0.0441795,19.32,2.04,0.02,29.01
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",59.55,5.87,0.08,87.55,2.8865783,0.21341,0.0739318,20.63,2.03,0.03,30.33
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.39,6.06,0.06,85.48,2.9930982,0.160963,0.0537781,18.84,2.02,0.02,28.56
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.59,5.83,0.07,84.19,2.865191,0.163951,0.0572217,19.75,2.03,0.02,29.38
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",50.85,5.7,0.07,78.28,2.8440664,0.16453,0.0578503,17.88,2.0,0.02,27.52
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.1,5.6,0.09,79.04,2.7591583,0.104706,0.0379485,18.88,2.03,0.03,28.65
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.87,5.59,0.07,79.67,2.7589874,0.109767,0.0397852,19.16,2.03,0.03,28.88
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.97,5.61,0.07,79.99,2.7685403,0.095152,0.034369,19.13,2.03,0.03,28.89
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.21,5.7,0.08,81.63,2.808813,0.119672,0.0426059,19.3,2.03,0.03,29.06
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.1,5.59,0.09,81.13,2.7543633,0.100963,0.0366557,19.64,2.03,0.03,29.46
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.46,5.6,0.08,80.57,2.7699401,0.093688,0.0338231,19.3,2.02,0.03,29.09
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.71,5.63,0.07,83.0,2.7783743,0.125956,0.0453344,20.05,2.03,0.03,29.87
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.49,5.6,0.07,81.43,2.7574567,0.11517,0.0417667,19.76,2.03,0.03,29.53
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.07,5.64,0.07,82.23,2.7816297,0.122001,0.0438595,19.8,2.03,0.03,29.56
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.25,5.63,0.08,81.45,2.7873544,0.107872,0.0387005,19.46,2.02,0.03,29.22
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.78,5.7,0.07,83.31,2.8041203,0.139162,0.0496277,19.89,2.03,0.02,29.71
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.32,5.71,0.06,83.89,2.8101544,0.144983,0.0515925,20.04,2.03,0.02,29.85
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.22,5.67,0.08,81.55,2.7939632,0.116386,0.0416562,19.41,2.03,0.03,29.19
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.35,5.59,0.07,81.44,2.7584794,0.120926,0.0438379,19.7,2.03,0.03,29.52
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.71,5.71,0.08,83.33,2.8082881,0.133651,0.0475916,19.84,2.03,0.03,29.67
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.72,5.68,0.07,83.28,2.7999685,0.124735,0.0445487,19.9,2.03,0.03,29.74
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.53,5.74,0.07,83.08,2.8167718,0.131109,0.0465458,19.71,2.04,0.02,29.49
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.11,5.71,0.08,82.47,2.8023437,0.127899,0.04564,19.67,2.04,0.03,29.43
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.99,5.74,0.07,82.44,2.8234637,0.126142,0.0446763,19.48,2.03,0.02,29.2
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.28,5.75,0.08,82.43,2.8203333,0.131788,0.0467278,19.6,2.04,0.03,29.23
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.47,5.62,0.07,81.28,2.7625307,0.117048,0.0423698,19.72,2.03,0.03,29.42
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.17,5.68,0.07,83.49,2.7958692,0.149116,0.0533344,20.09,2.03,0.03,29.86
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.77,5.69,0.08,82.09,2.7955967,0.119218,0.0426449,19.59,2.04,0.03,29.36
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.48,5.73,0.08,83.1,2.8169622,0.130486,0.0463215,19.69,2.03,0.03,29.5
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",57.04,5.85,0.07,84.85,2.8542964,0.135559,0.047493,19.98,2.05,0.02,29.73
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",59.52,5.92,0.08,87.75,2.904171,0.198866,0.068476,20.49,2.04,0.03,30.22
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.05,5.75,0.08,83.68,2.8043733,0.121065,0.0431701,19.99,2.05,0.03,29.84
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.01,5.82,0.09,83.95,2.8553661,0.11868,0.0415638,19.62,2.04,0.03,29.4
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",56.3,5.76,0.08,84.03,2.8316076,0.15093,0.0533019,19.88,2.03,0.03,29.68
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",57.0,5.73,0.09,84.58,2.8149815,0.154541,0.0548995,20.25,2.04,0.03,30.05
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.66,5.68,0.07,81.86,2.7929736,0.124012,0.0444014,19.57,2.03,0.03,29.31
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.38,5.67,0.07,82.77,2.7835451,0.127581,0.045834,19.9,2.04,0.03,29.74
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.29,5.69,0.08,80.19,2.8218839,0.163686,0.0580059,18.53,2.02,0.03,28.42
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",52.43,5.58,0.07,79.6,2.7677474,0.118932,0.0429707,18.94,2.02,0.03,28.76
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.02,5.61,0.09,80.26,2.7783061,0.110687,0.0398397,19.08,2.02,0.03,28.89
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.13,5.62,0.07,80.3,2.7787994,0.094452,0.0339902,19.12,2.02,0.03,28.9
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",47.07,5.9,0.07,74.52,2.9182806,0.1108,0.0379676,16.13,2.02,0.02,25.54
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.55,5.59,0.07,81.63,2.7566187,0.117237,0.0425293,19.79,2.03,0.03,29.61
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.09,5.65,0.08,81.17,2.774212,0.109025,0.0392994,19.5,2.04,0.03,29.26
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.68,5.65,0.07,80.79,2.7913281,0.114092,0.0408737,19.23,2.02,0.03,28.94
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.62,5.66,0.06,81.78,2.7866049,0.10937,0.0392485,19.6,2.03,0.02,29.35
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.38,5.66,0.08,81.67,2.7781051,0.111931,0.0402904,19.57,2.04,0.03,29.4
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.99,5.68,0.08,82.36,2.7905013,0.118449,0.0424472,19.71,2.04,0.03,29.51
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",53.87,5.65,0.07,80.98,2.7796235,0.101044,0.0363517,19.38,2.03,0.03,29.13
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.83,5.67,0.08,81.98,2.7865126,0.120395,0.0432063,19.68,2.03,0.03,29.42
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.79,5.69,0.09,81.95,2.7956299,0.11724,0.0419369,19.6,2.04,0.03,29.31
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.67,5.76,0.08,82.29,2.8250094,0.119817,0.042413,19.35,2.04,0.03,29.13
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.61,5.61,0.08,81.55,2.7564493,0.120477,0.0437073,19.81,2.04,0.03,29.59
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.78,5.7,0.09,82.27,2.8017221,0.116791,0.0416854,19.55,2.03,0.03,29.36
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.37,5.7,0.07,82.76,2.8108045,0.12772,0.0454389,19.7,2.03,0.02,29.44
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.18,5.65,0.07,81.32,2.7793198,0.111725,0.0401987,19.49,2.03,0.03,29.26
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.42,5.7,0.08,82.8,2.800749,0.122534,0.0437504,19.79,2.04,0.03,29.56
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.54,5.76,0.08,82.01,2.8342393,0.121719,0.0429459,19.24,2.03,0.03,28.94
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.15,5.69,0.07,82.43,2.8004299,0.127054,0.0453695,19.69,2.03,0.02,29.43
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",58.86,5.76,0.08,86.53,2.8434726,0.189359,0.0665943,20.7,2.03,0.03,30.43
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.55,5.69,0.07,82.83,2.7848193,0.133979,0.0481105,19.95,2.04,0.03,29.74
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.61,5.68,0.08,81.86,2.7889505,0.124134,0.0445092,19.58,2.04,0.03,29.35
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",54.98,5.71,0.09,82.34,2.8077505,0.126369,0.0450072,19.58,2.03,0.03,29.33
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.0,5.67,0.09,82.01,2.7713864,0.120334,0.0434201,19.85,2.05,0.03,29.59
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 50, :n-relations 50, :n-queries 10, :password-work-factor 5",55.87,5.67,0.07,83.13,2.7884287,0.139136,0.0498976,20.04,2.03,0.03,29.81
