Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.35,1.14,0.03,44.14,2.5124597,0.031231,0.0124304,17.25,0.45,0.01,17.57
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.28,1.15,0.03,44.09,2.5651459,0.033535,0.0130733,16.87,0.45,0.01,17.19
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",44.27,1.15,0.04,45.09,2.5360099,0.048866,0.0192689,17.46,0.45,0.02,17.78
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.99,1.16,0.04,43.82,2.5839901,0.031856,0.0123282,16.64,0.45,0.02,16.96
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",44.34,1.14,0.01,45.15,2.5549739,0.051183,0.0200327,17.35,0.45,0.0,17.67
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.71,1.15,0.03,43.54,2.5570469,0.037054,0.0144909,16.7,0.45,0.01,17.03
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.25,1.15,0.03,43.06,2.5443743,0.029825,0.0117219,16.61,0.45,0.01,16.92
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.31,1.14,0.03,43.11,2.5313758,0.031864,0.0125876,16.71,0.45,0.01,17.03
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.67,1.14,0.06,43.49,2.5180845,0.031372,0.0124587,16.95,0.45,0.02,17.27
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",41.89,1.14,0.02,42.7,2.5706027,0.035597,0.0138477,16.3,0.44,0.01,16.61
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.9,1.14,0.04,43.71,2.5192452,0.040276,0.0159873,17.03,0.45,0.02,17.35
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.37,1.15,0.03,43.17,2.5626402,0.02663,0.0103916,16.53,0.45,0.01,16.85
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.19,1.14,0.03,43.99,2.5295436,0.031732,0.0125446,17.07,0.45,0.01,17.39
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.32,1.14,0.03,43.11,2.518515,0.03472,0.0137859,16.8,0.45,0.01,17.12
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.74,1.14,0.01,43.55,2.5764877,0.028272,0.0109731,16.59,0.44,0.0,16.9
